"Желілік ресурстарға қолжетімділікті тексеру үшін қолданылатын құрал"";ipconfig;format;ping;netstat;dir;C";;;;;;;;;;
;;;;;;;;;;
"OSI моделінің ең жоғарғы деңгейі"";Сеанстық;Тасымалдау;Мәліметтер каналы;Қолданбалы;Желілік;D";;;;;;;;;;
;;;;;;;;;;
"Коммутатор мен маршрутизатор арасындағы басты айырмашылық"";Қосылу жылдамдығы;Жұмыс деңгейі;Бағасы;Жұмыс температурасы;Порт саны;B";;;;;;;;;;
;;;;;;;;;;
"LAN желісінің толық атауы"";Long Area Network;Local Area Network;Low Access Network;Linear Area Network;Link Access Network;B";;;;;;;;;;
;;;;;;;;;;
"Вирустармен күресуге арналған бағдарламалар"";Арxivаторлар;Файл менеджерлері;Антивирустар;VPN клиенттері;Веб-браузерлер;C";;;;;;;;;;
;;;;;;;;;;
"Домен атауын IP-адреске ауыстыратын жүйе"";FTP;IMAP;NAT;DNS;VPN;D";;;;;;;;;;
;;;;;;;;;;
"Желінің физикалық байланыс түрін сипаттайтын ұғым"";Хаттама;Топология;Порт;Сервер;Адрес;B";;;;;;;;;;
;;;;;;;;;;
"Жергілікті желіде қолданылатын құрылғыларды автоматты IP-адреспен қамтамасыз ету қызметі"";DNS;DHCP;NAT;FTP;SMTP;B";;;;;;;;;;
;;;;;;;;;;
"VPN технологиясының негізгі мақсаты"";Желіні кеңейту;Мәліметтерді қысу;Қауіпсіз байланысты қамтамасыз ету;Деректерді шифрсыз беру;Серверді жүктеу;C";;;;;;;;;;
;;;;;;;;;;
"Қай хаттама поштаны серверден клиентке жеткізеді"";SMTP;FTP;SNMP;HTTP;HTTPS;A";;;;;;;;;;
;;;;;;;;;;
"NAT технологиясының негізгі қызметі"";MAC-мекенжайды түрлендіру;DNS сұрауын орындау;Жергілікті IP-ді жалпы IP-ге түрлендіру;Пошта жіберу;Порт сканерлеу;C";;;;;;;;;;
;;;;;;;;;;
"Серверлер арасындағы байланысқа арналған хаттама"";POP3;SMTP;SNMP;HTTPS;DHCP;B";;;;;;;;;;
;;;;;;;;;;
"Қолданбалы деңгейде жұмыс істейтін қызмет"";IP;TCP;FTP;Ethernet;ARP;C";;;;;;;;;;
;;;;;;;;;;
"Желілік қауіпсіздікті қамтамасыз ететін аппараттық құрылғы"";Коммутатор;Маршрутизатор;Брандмауэр;Принтер;Модем;C";;;;;;;;;;
;;;;;;;;;;
"Көпшілікке қолжетімді IP-адрес түрі"";Жергілікті;Жеке;Сыртқы;Уақытша;Ішкі;C";;;;;;;;;;
;;;;;;;;;;
"Қолданушы аты мен құпиясөз енгізуді талап ететін қауіпсіздік әдісі"";Шифрлеу;Архивтеу;Аутентификация;IP фильтрация;NAT;C";;;;;;;;;;
;;;;;;;;;;
"OSI моделінде хаттамаға тәуелді емес физикалық тасымал деңгейі"";Мәліметтер каналы;Сеанстық;Қолданбалы;Тасымалдау;Физикалық;E";;;;;;;;;;
;;;;;;;;;;
"Тораптағы ресурстарға шектеулі қолжетімділік орнату үшін қолданылатын механизм"";ACL;NAT;DNS;SMTP;DHCP;A";;;;;;;;;;
;;;;;;;;;;
"E-mail клиент пен сервер арасындағы хаттама"";FTP;IMAP;DHCP;HTTPS;SNMP;B";;;;;;;;;;
;;;;;;;;;;
"Web-браузерде URL жолына енгізілген атауды IP-адреске түрлендіру қызметі"";SMTP;DNS;NAT;SNMP;VPN;B";;;;;;;;;;
;;;;;;;;;;
"Желінің жұмыс өнімділігін арттыру мақсатында қолданылатын құрылғы"";Хаб;Коммутатор;Принтер;Монитор;Процессор;B";;;;;;;;;;
;;;;;;;;;;
"Желідегі құрылғының MAC-адресін анықтауға арналған хаттама"";IP;ARP;DNS;SMTP;IMAP;B";;;;;;;;;;
;;;;;;;;;;
"SSL/TLS протоколдарының негізгі қызметі"";Вирусты анықтау;Файлды архивтеу;Деректерді шифрлау;IP-адресті түрлендіру;Желі жүктемесін өлшеу;C";;;;;;;;;;
;;;;;;;;;;
"Пошталық серверден электрондық хаттарды жүктеуге арналған хаттама"";FTP;IMAP;TCP;UDP;ICMP;B";;;;;;;;;;
;;;;;;;;;;
"Ішкі желіден сыртқы желіге шығу процесінде IP түрлендіруді қолданатын технология"";SMTP;NAT;FTP;IMAP;DNS;B";;;;;;;;;;
;;;;;;;;;;
"Жүйелік әкімшінің желі құрылымын логикалық бейнелеу тәсілі"";Топология;Протокол;IP-адрес;Сервер;Брандмауэр;A";;;;;;;;;;
;;;;;;;;;;
"Виртуалды жеке желі аббревиатурасы"";WAN;VPN;DNS;HTTP;FTP;B";;;;;;;;;;
;;;;;;;;;;
"Желінің сыртқы шабуылдардан қорғалу деңгейін сипаттайтын түсінік"";Топология;Қауіпсіздік;Канал;Сервер;Адрес;B";;;;;;;;;;
;;;;;;;;;;
"Көптеген құрылғыларды бір желіге біріктіретін құрылғы"";Принтер;Маршрутизатор;Коммутатор;Пернетақта;Монитор;C";;;;;;;;;;
;;;;;;;;;;
"Желілік қауіпсіздікті қамтамасыз етудің басты мақсаты"";Топология өзгерту;Сервер жүктеу;Деректерді қорғау;Коммутатор орнату;Хаттама таңдау;C";;;;;;;;;;
;;;;;;;;;;
"Протоколдар пакетін сипаттайтын TCP/IP үлгісіндегі ең жоғарғы деңгей"";Желі;Көліктік;Қолданбалы;Желілік қатынас;Мекендеу;C";;;;;;;;;;
;;;;;;;;;;
"Желілік хаттама ұғымы"";Физикалық құрылғы атауы;Деректерді жеткізу ережелері;Адрестеу жүйесі;Желі түрі;Деректер базасы;B";;;;;;;;;;
;;;;;;;;;;
"Электрондық пошта қабылдауға арналған хаттама"";SMTP;IMAP;FTP;DHCP;SNMP;B";;;;;;;;;;
;;;;;;;;;;
"Желілік ақауларды диагностикалауға арналған командалық жол утилитасы"";ping;open;run;copy;search;A";;;;;;;;;;
;;;;;;;;;;
"IP желілер арасындағы деректерді бағыттау қызметі"";DNS;NAT;Маршрутизация;Коммутация;Топология;C";;;;;;;;;;
;;;;;;;;;;
"Қашықтықтан серверге қосылу үшін қолданылатын хаттама"";FTP;IMAP;DHCP;SSH;DNS;D";;;;;;;;;;
;;;;;;;;;;
"MAC-адреске негізделген деректерді жеткізу қай деңгейде жүзеге асады"";Қолданбалы;Мәліметтер каналы;Тасымалдау;Сеанстық;Желі;B";;;;;;;;;;
